
PLUGINS [ 413 ]

Packages table
--------------

+-------+--------------------------+-----------------------------+---------------+---------------+---------+
| Count | Name                     | Slug                        | Version       | Installed     | Enabled |
| 146   | Admin Media Actions      | admin-media-actions         | v1.0.4        | not installed |         |
| 147   | Admin Media Move         | admin-media-move            | v1.0.4        | not installed |         |
| 148   | Custom JS                | custom-js                   | v0.1.0        | not installed |         |
| 149   | Custom CSS               | custom-css                  | v0.2.2        | not installed |         |
| 150   | Assets                   | assets                      | v2.0.1        | not installed |         |
| 151   | Indieauth                | indieauth                   | v0.1.0        | not installed |         |
| 152   | Admin Addon Media Re...  | admin-addon-media-rename    | v1.6.3        | not installed |         |
| 153   | Rel Me                   | relme                       | v0.1.1        | not installed |         |
| 154   | Cadphp                   | cadphp                      | v1            | not installed |         |
| 155   | Smart Banner             | smart-banner                | v1.0.0        | not installed |         |
| 156   | Social Feed              | social-feed                 | v0.1.3        | not installed |         |
| 157   | Yandex Metrika           | metrika                     | v1.0.0        | not installed |         |
| 158   | Markdown Underline       | markdown-underline          | v1.0.0        | not installed |         |
| 159   | Facebook                 | facebook                    | v1.7.1        | not installed |         |
| 160   | Admin Styles             | adminstyles                 | v2.1.0        | not installed |         |
| 161   | Admin Identicons         | adminidenticons             | v1.1.0        | not installed |         |
| 162   | Deferred Instagram       | deferred-instagram          | v1.0.0        | not installed |         |
| 163   | Leaflet Address          | leaflet-address             | v1.0.1        | not installed |         |
| 164   | Diagrams                 | diagrams                    | v1.0.4        | not installed |         |
| 165   | Image Color              | image-color                 | v1.0.0        | not installed |         |
| 166   | Quando                   | quando                      | v0.6.4        | not installed |         |
| 167   | Grava11y (Acccessibi...  | grava11y                    | v1.1.0        | not installed |         |
| 168   | Icalendar                | icalendar                   | v0.2.3        | not installed |         |
| 169   | Shortcode Modal          | shortcode-modal             | v1.0.0        | not installed |         |
| 170   | Injectphp                | injectphp                   | v0.1.0        | not installed |         |
| 171   | Lazysizes                | lazysizes                   | v1.0.0        | not installed |         |
| 172   | Markdown Font Awesom...  | markdown-fontawesome        | v1.1.1        | not installed |         |
| 173   | Shortcode Citations      | shortcode-citation          | v0.2.0        | not installed |         |
| 174   | Users Page Ownership     | users-page-ownership        | v0.9.6        | not installed |         |
| 175   | Glossary                 | glossary                    | v0.1.1        | not installed |         |
| 176   | ConsistentBackupName     | consistent-backup-name      | v1.0.0        | not installed |         |
| 177   | TinyPNG                  | tinypng                     | v1.0.0        | not installed |         |
| 178   | Zooming                  | zooming                     | v1.0.1        | not installed |         |
| 179   | CORS                     | cors                        | v1.0.2        | not installed |         |
| 180   | CBRcurrency              | cbrcurrency                 | v1.0.0        | not installed |         |
| 181   | Google AdSense           | adsense                     | v2.0.0        | not installed |         |
| 182   | Twig Feeds               | twigfeeds                   | v4.0.1        | not installed |         |
| 183   | Freshdesk                | freshdesk                   | v1.0.1        | not installed |         |
| 184   | Photo Images             | photoimages                 | v0.1.0        | not installed |         |
| 185   | Proposal                 | proposal                    | v1.0.1        | not installed |         |
| 186   | Rich Preview             | rich-preview                | v0.1.2        | not installed |         |
| 187   | Table Importer           | table-importer              | v2.2.1        | not installed |         |
| 188   | Opening Hours            | opening-hours               | v0.1.0        | not installed |         |
| 189   | World Maps               | world-maps                  | v1.0.2        | not installed |         |
| 190   | Editable With Simple...  | editable-simplemde          | v1.1.2        | not installed |         |
